nome_produto,marca,segmento,categoria,subcategoria
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua de Madeira ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abridor De Boca Abritec ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor De Boca Abritec ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Adulto ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Adulto E Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil Black Diamond ,,Dentista,Dentística e Estética,Afastadores e Abridores
Descanso de Boca ,,Dentista,Dentística e Estética,Afastadores e Abridores
Acessório para Irrigação Conector Soro ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Acessório para irrigação tubo de silicone ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Acessório para irrigação tubo de silicone ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Ácido Hialurônico Aeskins Deep 1 Seringa 10ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Deep 1 Seringa 1ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Deep 1 Seringa 2ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm 1 Seringa 1ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm 1 Seringa 2ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm Sub Skin 1 Seringa 10ml ,Aeskins Deep Sub Skin,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm Sub Skin 1 Seringa 20ml ,Aeskins Deep Sub Skin,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Fine Lines 1 Seringa 1ml ,Aeskins Fine Lines,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Balance ,Belotero Balance,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Balance com Lidocaína ,Belotero Balance,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Intense com Lidocaína ,Belotero Intense,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Soft com Lidocaína ,Belotero Soft,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Volume com Lidocaína ,Belotero Volume,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Biogelis Global com Lidocaína ,Biogelis Global,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Deep Line Lido ,Deep Line Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Fill ,Fill,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Fill Lido ,Fill Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lift ,Lift,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lift Plus Lido ,Lift Plus Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lips Lido ,Lips Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Rennova Ultra Volume Lido ,Ultra Volume Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Contour+ com Lidocaína ,Contour+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Kiss+ ,Kiss+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Outline+ com Lidocaína ,Outline+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Shape+ com Lidocaína ,Shape+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Ultra com Lidocaína ,Ultra,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Ultra+ ,Ultra+ ,Dentista,Harmonização Orofacial,Preenchedores Faciais
SkinDeep Ácido Hialurônico ,SkinDeep,Dentista,Harmonização Orofacial,Produtos para Pós-Procedimento
Skindeep Hyaluronic Acid Mask ,SkinDeep,Dentista,Harmonização Orofacial,Produtos para Pós-Procedimento
Ácido IPS E.Max Press Invex Liquid 1 ,E.Max,Laboratório,Cerâmicas,Acessórios para Cerâmica
Adaptador de Agulha Vacutainer ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Adaptador de Sucção ,,Dentista,Endodontia,Irrigação e Aspiração
Adaptador de Sucção ,,Dentista,Endodontia,Irrigação e Aspiração
Adaptador para Articulador Vertex Giroform ,,Laboratório,Equipamentos Laboratório,Equipamentos para Prótese Removível
Adaptador Midwest para Assistina 301 Plus ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador para Assistina Borden ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador para Assistina Roto Quick ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador Para Micro Motor E6TP ,,Dentista,Equipamentos e Peças de Mão,Motores Elétricos e Pneumáticos
Adaptador para Sugador ,,Dentista,Descartáveis,Sugadores e Aspiração
Adaptador para Sugador ,,Dentista,Descartáveis,Sugadores e Aspiração
"Adaptador PRN (Luer Lock) Curto 0,1ml 3/4 ",,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Adesivo 3M™ Adper™ Single Bond 2 ,Adper Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Scotchbond™ 7543 ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Scotchbond™ Universal Plus ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Single Bond Universal ,Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Single Bond Universal ,Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Adper™ Single Bond 2 ,Adper Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Alloy Primer ,Alloy,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar APS ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar Aps + Resina Opallis Ebl2/Dbl2 2 Seringas 4G ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar APS Ortho ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar Universal APS ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Âmbar Universal Aps Plus ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Aridus Bond ,Aridus,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Beautibond Extreme ,Beautibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bondaf Nano de 6ml ,Bondaf,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Clearfil Ceramic Primer Plus ,Clearfil,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Clearfil Tri,Clearfil,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Extra Bond DE ,Extra Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Extra Bond DE ,Extra Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Futurabond DC ,Futurabond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Futurabond U ,Futurabond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Gluma Bond 5 ,Gluma Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Gluma Bond Universal ,Gluma Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Humidus Bond ,Humidus Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Humidus Bond ,Humidus Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond DE ,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond Esmalte ,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond Universal,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Master Bond Refil ,Master Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo MZ Primer ,MZ Primer,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo One Coat Bond SL ,One Coat Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond FL ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond FL Prime ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond S ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond Universal ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Palfique Bond ,Palfique,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Peak ,Peak,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Prime & Bond 2.1 ,Prime Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Prime & Bond Universal ,Prime Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Stae ,Stae,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Universal One Coat 7 ,One Coat 7,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ybond Mono ,Ybond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ybond Universal ,Ybond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo ZipBond Universal ,Zipbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer 3M™ Scotchbond™ 3008 ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Autocondicionante Multilink N A ,Multilink,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Autocondicionante Multilink N B ,Multilink,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Monobond N Universal Refil ,Monobond N,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Stela Refil 5Ml ,Stela,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Yzap ,Yzap,Dentista,Dentística e Estética,Adesivos Odontológicos
Selante de Superficie Autoadesivo Equia Forte Coat ,Equia Fort,Dentista,Prevenção e Profilaxia,Selantes e Vernizes
Adesivo Fill Magic Ortho ,Fill Magic Ortho,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ Plus Color Change ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ Plus Self Etching Primer ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ Supreme LV ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ XT ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ XT ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ XT Kit Especial ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Biofix ,Biofix,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Biofix ,Biofix,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Biofix ,Biofix,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Fix ,Fix,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Fix LV ,Fix LV,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico LightBond ,LightBond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Ortho Kromm ,Ortho Kromm,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortôdontico Orthobond Plus Color Change ,Orthobond,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico Ortholink One Step ,Ortholink,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico OrthoPrimer ,OrthoPrimer,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Vega Ortho UV & Alpha Etch ,-,Dentista,Ortodontia,Acessórios para Colagem
Kit Adesivo Ortodôntico Orthocem + Condicionador Ácido Condac 37% ,-,Dentista,Ortodontia,Acessórios para Colagem
Primer 3M™ Transbond™ XT ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
Primer Ortodôntico LightBond ,LightBond,Dentista,Ortodontia,Acessórios para Colagem
Aditivo de Cerâmica Easyform ,,Laboratório,Cerâmicas,Acessórios para Cerâmica
Afastador Minessota Cawood ,-,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Afastador Minessota com Sugador ,-,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Afastador Minnesota ,-,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Afastador Oringuer ,-,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador de arame Duplo Stemberg ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador de Lábios Frontal para Estética ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Adulto Expandex Azul ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Adulto Expandex Rosa ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Branco ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial com Haste Branco ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Azul ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Black ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Black ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Branco ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Branco ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Rosa ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Transparente ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Expandex Transparente ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Flex ,,Dentista,Dentística e Estética,Afastadores e Abridores
"Afastador Labial Frontal/Lateral Formato ""V"" Adulto para Fotografia ",,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Frontal/Lateral Formato ''C'' Adulto para Fotografia ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Haste Metálica ,,Dentista,Dentística e Estética,Afastadores e Abridores
"Afastador Labial Lateral Formato ""U"" ",,Dentista,Dentística e Estética,Afastadores e Abridores
"Afastador Labial Lateral Formato ""V"" ",,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Lip Expand ,Lip Expand,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Lip Expand Azul ,Lip Expand,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Lip Expand Rosa ,Lip Expand,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Oclusal Black ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Oclusal MF Black ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Optragate Regular Refil 3D ,Optragate,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial Umbrella Médio ,Umbrella,Dentista,Dentística e Estética,Afastadores e Abridores
Kit Afastador Labial Arcflex ,Arcflex,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial para Fotografia Frontal Lateral ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial para Fotografia Frontal Lateral C Black Adulto ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial para Fotografia Frontal Lateral C Black Bambini ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial para Fotografia Lateral V ,,Dentista,Dentística e Estética,Afastadores e Abridores
Afastador Labial para Fotografia Lateral V Black ,,Dentista,Dentística e Estética,Afastadores e Abridores
Agente Refratário de União Megafix ,,Laboratório,Cerâmicas,Acessórios para Cerâmica
Água Destilada para Autoclave ,,Dentista,Biossegurança,Equipamentos para Esterilização
Água Oxigenada 10 Volumes ,,Dentista,Endodontia,Irrigação e Aspiração
Água Oxigenada 10 Volumes ,,Dentista,Endodontia,Irrigação e Aspiração
Água Oxigenada 10 Volumes ,,Dentista,Endodontia,Irrigação e Aspiração
Água Oxigenada 10 Volumes Antisséptica ,,Dentista,Endodontia,Irrigação e Aspiração
Água Oxigenada Spray 10 Volumes ,,Dentista,Endodontia,Irrigação e Aspiração
Água para Injeção 10ml ,,Dentista,Cirurgia e Periodontia,Antissépticos e Medicamentos
Água para Injeção 20ml ,,Dentista,Cirurgia e Periodontia,Antissépticos e Medicamentos
Água para Injeção 5ml ,,Dentista,Cirurgia e Periodontia,Antissépticos e Medicamentos
Agulha 1 Ponta Easy Balance ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha 1 Ponta Xlt Rosca ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Easy Balance 1 Ponta Xlt ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha 3 Pontas Easy Balance Circular ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha 5 Pontas Easy Balance Circular ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha 5 Pontas Linear Rosca ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha 7 Pontas Easy Balance Linear ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Descartável para Irrigação 30G ,,Dentista,Endodontia,Irrigação e Aspiração
Agulha para Irrigação Saída Lateral ,,Dentista,Endodontia,Irrigação e Aspiração
Agulha de Lebel Mesoderm 4mm 30G ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha de Lebel Mesoderm 4mm 32G ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Precision Glide ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Precision Glide ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Precision Glide ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Agulha Gengival All Prime,All Prime,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Injex,Injex,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Procare,Procare,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Terumo,Terumo,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival NOP,NOP,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Dencojet ,Dencojet,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Septoject ,Septoject,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Gengival Unoject ,Unoject,Dentista,Anestésicos e Agulha Gengival,Agulha Gengival
Agulha Injetora de Guta,,Dentista,Endodontia,Instrumentais Endodônticos
Agulha Para Sutura ,,Dentista,Cirurgia e Periodontia,Suturas e Materiais para Fechamento
Agulha Vacutainer Múltipla ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Alavanca Apexo Kit Millennium ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Apical Infantil com Cabo Fino Millennium ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Apical Reta Adulto Nº 304 ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink Black Diamond ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heidbrink Infantil Millennium ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Heinderbrink Adulto ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Pott ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Potts Colors Roxo ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Alavanca Seldin Infantil ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Kit Alavanca Apexo ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Álcool 70% Saneante ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Álcool Etílico 70% Antisséptico Rialcool 70 ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Álcool Etílico 70% Antisséptico Rialcool 70 ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Álcool Etílico 70% Antisséptico Rialcool 70 ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Álcool Etílico 70% Saneante ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
"Álcool 92,8% Saneante ",,Dentista,Biossegurança,Desinfetantes e Esterilizantes
"Álcool Absoluto 99,3% Saneante ",,Dentista,Biossegurança,Desinfetantes e Esterilizantes
"Álcool Etílico 99,3% Rialcool Absoluto ",,Dentista,Biossegurança,Desinfetantes e Esterilizantes
"Álcool Iodado 0,1% ",,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Álcool Isopropílico ,,Dentista,Biossegurança,Desinfetantes e Esterilizantes
Alginato Algi-Gel,Algi-Gel,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Avagel Tipo II ,Avagel,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Cavex Cream ,Cavex Cream,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Colorchange Tipo I ,Cavex Colorchange,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Dia Tipo I ,Dia,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Ezact Kromm ,Ezact Kromm,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Hydrogum 5 Tipo I ,Hydrogum,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Hydrogum Tipo I ,Hydrogum,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Hydroprint Premium ,Hydroprint,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Kromopan ,Kromopan,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Orthoprint Tipo I ,Orthoprint,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Orthotrace ,Orthotrace,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Perfil Pro Chroma Regular 454g ,Perfil Pro,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Perfil Pro Tipo II 410g ,Perfil Pro,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Perfil Pro+ Tipo I 454g ,Perfil Pro,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Plastalgin Tipo II ,Plastalgin,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Tipo I Jeltrate Orthodontic ,Jeltrate,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Tipo I Jeltrate Plus ,Jeltrate,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Tipo II Jeltrate Cromatic ,Jeltrate,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Tipo II Jeltrate Dustless ,Jeltrate,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Alginato Tropicalgin Tipo I ,Tropicalgin,Dentista,Prótese Clínica e Reabilitação Oral,Materiais para Moldagem
Algodão Hidrófilo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Bola 50g ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Bola 50g Melhormed ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Bola Melhormed ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Delicato em Rolo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo em Rolo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo em Rolo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo em Rolo ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Quadrado ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Quadrado ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Rolete ,,Dentista,Descartáveis,Produtos para Procedimentos
Algodão Hidrófilo Rolete ,,Dentista,Descartáveis,Produtos para Procedimentos
Rolo Dental ,,Dentista,Descartáveis,Produtos para Procedimentos
Rolo Dental ,,Dentista,Descartáveis,Produtos para Procedimentos
Rolo Dental ,,Dentista,Descartáveis,Produtos para Procedimentos
Rolo Dental Soft WA Colorido ,,Dentista,Descartáveis,Produtos para Procedimentos
Alicate Alinhador Horizontal Nº 711 ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Alicate Alinhador para Corte Circular em Alinhadores ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Alicate Alinhador Vertical Nº 710 ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Alicate Baad Meia Lua ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Alicate Binlão 767 ,,Dentista,Ortodontia,Instrumentos Ortodônticos
Alicate Corte em Alinhador,,Dentista,Ortodontia,Instrumentos Ortodônticos
