nome_produto,marca,segmento,categoria,subcategoria
Matriz Seccional Pré Contornada Palodent V3 ,,Dentista,Dentística e Estética,Sistemas de Matriz
"Matriz Seccional Pré Contornada Palodent V3 5,5mm ",,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Pré Molar Quickmat All,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Pré Molar Quickmat Flex ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Pré Molar Quickmat Flex 0.04mm 5mm ,,Dentista,Dentística e Estética,Sistemas de Matriz
"Matriz Seccional Pré Molar QuickmatFlex 0,3mm 100 Unid ",,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Quickmat ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Quickmat com Extensão ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Quickmat com Extensão Cervical 0.04mm 6.4mm ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Unimatrix Refil ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Universal Pro Matrix ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Universal Kit ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Universal Mini Kit ,,Dentista,Dentística e Estética,Sistemas de Matriz
Conjunto Medidor De Jeltrate ,,Laboratório,Equipamentos para Laboratório, Equipamentos para Moldagem e Modelos
Conjunto Medidor Para Alginato ,,Laboratório,Equipamentos para Laboratório, Equipamentos para Moldagem e Modelos
Conjunto Medidor Para Alginato Hydrogum 5 ,,Laboratório,Equipamentos para Laboratório, Equipamentos para Moldagem e Modelos
Kit Medidor para Alginato ,,Laboratório,Equipamentos para Laboratório, Equipamentos para Moldagem e Modelos
Medidor Proporcionalidade Chu ,,Dentista,Prótese Clínica e Reabilitação Oral,Instrumentos para Prótese
Membrana Allumina Standard ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina GenDerm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina GenDerm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Genderm Flex ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Lumina Coat ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Lumina Coat 1x10x20mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Lumina Coat Double Time ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Techgraf 20x30mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Bovina Techgraft ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Lumina Dermal 10x20mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Lumina Dermal 20x30mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Sintética Absorvível Pratix 15x25mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Sintética Absorvível Pratix 30x40mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Plus ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Plus ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Plus ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
